ORLY,Oreilly Automotive Inc,Consumer Discretionary,USA,96.88
APH,Amphenol Corp,Information Technology,USA,97.5
CTSH,Cognizant Technology Solutions,Information Technology,USA,87.69
DOW,Dow Inc-,Materials,USA,86.11
SNPS,Synopsys Inc,Information Technology,USA,97.53
KMB,Kimberly Clark Corp,Consumer Staples,USA,50.0
SQ,Square Inc Class A,Information Technology,USA,93.48
MNST,Monster Beverage Corp,Consumer Staples,USA,95.54
LHX,"L3Harris Technologies, Inc-",Industrials,USA,97.14
SRE,Sempra Energy,Utilities,USA,100.0
SYY,Sysco Corp,Consumer Staples,USA,76.67
MSCI,MSCI Inc,Financials,USA,89.74
PRU,Prudential Financial Inc,Financials,USA,94.81
IQV,"IQVIA Holdings, Inc-",Health Care,USA,98.35
AEP,American Electric Power Inc,Utilities,USA,97.66
DELL,Dell Technologies Inc- Class C,Information Technology,USA,89.53
ADM,Archer-Daniels-Midland Company,Consumer Staples,USA,88.68
HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary,USA,97.8
DDOG,"Datadog, Inc- - Class A",Information Technology,USA,98.15
CMG,Chipotle Mexican Grill Inc,Consumer Discretionary,USA,84.13
HSY,Hershey Foods,Consumer Staples,USA,80.56
PAYX,Paychex Inc,Information Technology,USA,29.27
TRV,Travelers Companies Inc,Financials,USA,56.82
WDAY,Workday Inc,Information Technology,USA,91.02
AFL,Aflac Inc,Financials,USA,84.44
IDXX,Idexx Laboratories Inc,Health Care,USA,94.29
BAX,Baxter International Inc,Health Care,USA,96.97
STZ,Constellation Brands Class A,Consumer Staples,USA,97.54
MCK,Mckesson Corp,Health Care,USA,95.45
DD,"DuPont de Nemours, Inc-",Materials,USA,95.0
GIS,General Mills Inc,Consumer Staples,USA,74.58
EXC,Exelon Corp,Utilities,USA,85.37
WBA,Walgreen Boots Alliance Inc,Consumer Staples,USA,74.42
GPN,Global Payments Inc,Information Technology,USA,97.87
ANET,Arista Networks Inc,Information Technology,USA,95.65
MCHP,Microchip Technology Inc,Information Technology,USA,99.22
ALGN,Align Technology Inc,Health Care,USA,97.96
HPQ,HP Inc,Information Technology,USA,78.64
A,Agilent Technologies Inc,Health Care,USA,99.13
AZO,Autozone Inc,Consumer Discretionary,USA,97.74
PH,Parker-Hannifin Corp,Industrials,USA,91.82
APTV,Aptiv Plc,Consumer Discretionary,Ireland,86.46
CARR,Carrier Global Corporation,Industrials,USA,100.0
LULU,Lululemon Athletica Inc,Consumer Discretionary,USA,93.01
CTAS,Cintas Corp,Industrials,USA,64.56
CDNS,Cadence Design Systems Inc,Information technology,USA,95.92
PSX,Phillips 66,Energy,USA,97.32
KMI,Kinder Morgan Inc,Energy,USA,91.95
DXCM,Dexcom Inc,Health Care,USA,95.16
CTVA,"Corteva, Inc-",Materials,USA,86.84
OXY,Occidental Petroleum Corp,Energy,USA,70.48
ZM,"Zoom Video Communications, Inc- - Class A",Information Technology,USA,86.89
RSG,Republic Services Inc,Industrials,USA,100.0
DVN,Devon Energy Corp,Energy,USA,97.39
ZS,Zscaler Inc,Information Technology,USA,92.68
EA,Electronic Arts Inc,Communication Services,USA,97.7
TDG,Transdigm Group Inc,Industrials,USA,94.23
SIVB,SVB Financial Group,Financials,USA,98.04
MSI,Motorola Solutions Inc,Information Technology,USA,86.25
EBAY,Ebay Inc,Consumer Discretionary,USA,93.46
YUM,Yum Brands Inc,Consumer Discretionary,USA,89.11
WMB,Williams Inc,Energy,USA,100.0
DFS,Discover Financial Services,Financials,USA,98.32
LVS,Las Vegas Sands Corp,Consumer Discretionary,USA,100.0
XEL,Xcel Energy Inc,Utilities,USA,73.44
VLO,Valero Energy Corp,Energy,USA,95.59
PPG,PPG Industries Inc,Materials,USA,97.52
TT,Trane Technologies plc,Industrials,USA,89.29
CRWD,"CrowdStrike Holdings, Inc- - Class A",Information Technology,USA,95.24
ALL,Allstate Corp,Financials,USA,93.41
TTD,Trade Desk Inc Class A,Information Technology,USA,98.68
GLW,Corning Inc,Information Technology,USA,89.29
NUE,Nucor Corp,Materials,USA,94.74
IFF,International Flavors & Fragrances,Materials,USA,100.0
RMD,Resmed Inc,Health Care,USA,72.88
STT,State Street Corp,Financials,USA,79.84
KKR,KKR & Co Inc-,Financials,USA,100.0
TSN,Tyson Foods Inc Class A,Consumer Staples,USA,92.65
LYB,Lyondellbasell Industries NV,Materials,USA,93.0
AMP,Ameriprise Finance Inc,Financials,USA,100.0
CBRE,CBRE Group Inc,Real Estate,USA,100.0
DASH,DoorDash Inc,Consumer Discretionary,USA,100.0
ODFL,Old Dominion Freight Line Inc,Industrials,USA,84.52
KR,Kroger,Consumer Staples,USA,74.26
FITB,Fifth Third Bancorp,Financials,USA,92.31
PEG,Public Service Enterprise Group Inc,Utilities,USA,94.06
LSXMA,Liberty Media Liberty Siriusxm Series A,Communication Services,USA,100.0
LSXMK,Liberty Media Liberty Siriusxm Series C,Communication Services,USA,100.0
FWONK,Liberty Media Formula One Corp Series C,Communication Services,USA,100.0
FWONA,Liberty Media Formula One Corp Series A,Communication Services,USA,100.0
PCAR,Paccar Inc,Industrials,USA,72.83
ROST,Ross Stores Inc,Consumer Discretionary,USA,96.12
OTIS,Otis Worldwide Corporation,Industrials,USA,66.67
MTD,Mettler Toledo Inc,Health Care,USA,71.43
TROW,T Rowe Price Group Inc,Financials,USA,76.69
NET,"Cloudflare, Inc- Class A",Information Technology,USA,91.89
AJG,Arthur J Gallagher,Financials,USA,94.37
MTCH,Match Group Inc,Communication Services,USA,95.89
EXPE,Expedia Inc,Consumer Discretionary,USA,95.68
CMI,Cummins Inc,Industrials,USA,87.7
ROK,Rockwell Automation Inc,Industrials,USA,69.01
BIIB,Biogen Inc,Health Care,USA,91.46
BF-B,Brown Forman Inc Class B,Consumer Staples,USA,65.91
BF-A,Brown Forman Inc Class A,Consumer Staples,USA,65.91
VRSK,Verisk Analytics Inc,Industrials,USA,83.08
DLTR,Dollar Tree Inc,Consumer Discretionary,USA,94.35
VEEV,Veeva Systems Inc Class A,Health Care,USA,98.2
BKR,Baker Hughes Company Class A,Energy,USA,95.83
KEYS,Keysight Technologies Inc,Information Technology,USA,97.56
FRC,First Republic Bank,Financials,USA,86.76
ABC,AmerisourceBergen Corp,Health Care,USA,95.45
AME,Ametek Inc,Industrials,USA,100.0
HAL,Halliburton,Energy,USA,97.91
CPRT,Copart Inc,Industrials,USA,86.21
FAST,Fastenal,Industrials,USA,67.57
LNG,Cheniere Energy Inc,Energy,USA,100.0
DHI,D R Horton Inc,Consumer Discretionary,USA,95.16
U,Unity Software Inc-,Information Technology,USA,95.83
BLL,Ball Corp,Materials,USA,96.3
HES,Hess Corp,Energy,USA,95.35
SPOT,Spotify Technology SA,Communication Services,Luxembourg,78.67
ED,Consolidated Edison Inc,Utilities,USA,19.35
NDAQ,Nasdaq Inc,Financials,USA,95.9
WST,West Pharmaceutical Services Inc,Health Care,USA,81.82
TWLO,Twilio Inc Class A,Information Technology,USA,100.0
PCG,Pacific Gas & Electric Co-,Utilities,USA,92.71
TWTR,Twitter Inc,Communication Services,USA,72.82
ES,Eversource Energy,Utilities,USA,53.97
WEC,WEC Energy Group Inc,Utilities,USA,63.41
OKE,Oneok Inc,Energy,USA,83.17
WTW,Willis Towers Watson Public Limited Company,Financials,USA,91.38
DAL,Delta Air Lines Inc,Industrials,USA,97.9
LUV,Southwest Airlines,Industrials,USA,88.57
MDB,"MongoDB, Inc- Class A",Information Technology,USA,100.0
ANSS,Ansys Inc,Information Technology,USA,78.95
AWK,American Water Works Inc,Utilities,USA,86.0
CERN,Cerner Corp,Health Care,USA,87.27
SWK,Stanley Black & Decker Inc,Industrials,USA,94.78
GFS,GlobalFoundries Inc,Information Technology,USA,93.33
LEN-B,Lennar Corporation Class B,Consumer Discretionary,USA,99.11
LEN,Lennar Corporation Class A,Consumer Discretionary,USA,99.11
LYV,Live Nation Entertainment Inc,Communication Services,USA,97.73
MKC,McCormick & Co Non-voting,Consumer Staples,USA,69.77
ON,ON Semiconductor Corp,Information Technology,USA,81.19
CSGP,Costar Group Inc,Industrials,USA,85.71
EFX,Equifax Inc,Industrials,USA,95.31
LBRDA,Liberty Broadband Corp Series A,Communication Services,USA,100.0
LBRDK,Liberty Broadband Corp Series C,Communication Services,USA,100.0
OKTA,Okta Inc Class A,Information Technology,USA,100.0
HRL,Hormel Foods Corp,Consumer Staples,USA,66.67
LH,Laboratory Corporation Of America,Health Care,USA,98.04
ZBH,Zimmer Biomet Holdings Inc,Health Care,USA,87.85
EPAM,Epam Systems Inc,Information Technology,USA,98.98
VMC,Vulcan Materials,Materials,USA,96.92
CCL,Carnival Corp,Consumer Discretionary,USA,87.27
CDW,CDW Corp,Information Technology,USA,84.09
NTRS,Northern Trust Corporation,Financials,USA,51.35
TSCO,Tractor Supply,Consumer Discretionary,USA,99.15
GWW,W-W- Grainger Inc,Industrials,USA,67.95
HIG,Hartford Financial Services Group,Financials,USA,100.0
BILL,"Bill-com Holdings, Inc-",Information Technology,USA,100.0
MLM,Martin Marietta Materials Inc,Materials,USA,97.1
HUBS,Hubspot Inc,Information Technology,USA,100.0
KEY,Keycorp,Financials,USA,87.8
SIRI,Sirius Xm Holdings Inc,Communication Services,USA,84.62
BBY,Best Buy Inc,Consumer Discretionary,USA,85.59
CHD,Church And Dwight Inc,Consumer Staples,USA,69.23
